id,artist,name,popularity,preview,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,label
2b8fOow8UzyDFAE27YhOZM,Maroon 5,Memories,99,,0.764,0.32,11.0,-7.209,1.0,0.0546,0.8370000000000001,0.0,0.0822,0.575,91.01899999999999,audio_features,189486.0,4.0,toplists
6WrI0LAC5M1Rw2MnX2ZvEg,Dua Lipa,Don't Start Now,95,https://p.scdn.co/mp3-preview/ed151225213380a41e5c4af00ff558e25b5875d1?cid=99f699c35c2d4667917d680d9134d27e,0.794,0.7929999999999999,11.0,-4.521,0.0,0.0842,0.0125,0.0,0.0952,0.677,123.941,audio_features,183290.0,4.0,toplists
3ZCTVFBt2Brf31RLEnCkWJ,Billie Eilish,everything i wanted,94,,0.7040000000000001,0.225,6.0,-14.454,0.0,0.0994,0.902,0.657,0.106,0.243,120.006,audio_features,245426.0,4.0,toplists
696DnlkuDOXcMAnKlTgXXK,Arizona Zervas,ROXANNE,88,https://p.scdn.co/mp3-preview/17c8499c72603f1a2726dd121eb245c445d1dd84?cid=99f699c35c2d4667917d680d9134d27e,0.621,0.601,6.0,-5.6160000000000005,0.0,0.14800000000000002,0.0522,0.0,0.46,0.457,116.735,audio_features,163636.0,5.0,toplists
4VginDwYTP2eaHJzO0QMjG,Post Malone,Circles,68,,0.7040000000000001,0.758,0.0,-3.537,1.0,0.0402,0.233,0.00144,0.0924,0.534,120.00299999999999,audio_features,214907.0,4.0,toplists
421leiR6jKlH5KDdwLYrOs,Tones and I,Dance Monkey,56,,0.8240000000000001,0.5920000000000001,6.0,-6.4,0.0,0.0969,0.693,0.00015800000000000002,0.17800000000000002,0.54,98.074,audio_features,209755.0,4.0,toplists
1HfMVBKM75vxSfsQ5VefZ5,Selena Gomez,Lose You To Love Me,99,,0.505,0.34,4.0,-9.005,1.0,0.0438,0.5760000000000001,0.0,0.21,0.0916,101.993,audio_features,206459.0,4.0,toplists
1iQDltZqI7BXnHrFy4Qo1k,SHAED,Trampoline (with ZAYN),93,,0.619,0.45899999999999996,7.0,-5.782,0.0,0.0334,0.56,0.0,0.13699999999999998,0.498,126.803,audio_features,184280.0,4.0,toplists
7aiClxsDWFRQ0Kzk5KI5ku,blackbear,hot girl bummer,97,,0.778,0.5589999999999999,6.0,-7.109,0.0,0.0776,0.128,0.0,0.39899999999999997,0.6779999999999999,129.989,audio_features,185093.0,1.0,toplists
2plLJpUcYPFrl1sW2pMG63,Harry Styles,Lights Up,95,https://p.scdn.co/mp3-preview/aacbe5176d00ff0ea6cae1977ff71a1ac0d92af1?cid=99f699c35c2d4667917d680d9134d27e,0.585,0.62,3.0,-8.09,0.0,0.0327,0.0426,0.00224,0.15,0.281,101.939,audio_features,172227.0,4.0,toplists
7ce20yLkzuXXLUhzIDoZih,Lewis Capaldi,Before You Go,77,,0.45899999999999996,0.575,3.0,-4.8580000000000005,1.0,0.0573,0.604,0.0,0.0885,0.183,111.881,audio_features,215107.0,4.0,toplists
1mpD5Q8IM32I4bF6eCpU74,Khalid,Up All Night,83,https://p.scdn.co/mp3-preview/0850b24dd295e8cbb2a4e619957cfb6af40e2494?cid=99f699c35c2d4667917d680d9134d27e,0.665,0.7120000000000001,1.0,-7.5360000000000005,1.0,0.0527,0.00103,0.0034200000000000003,0.102,0.669,93.98899999999999,audio_features,157220.0,4.0,toplists
7LzouaWGFCy4tkXDOOnEyM,Camila Cabello,Liar,94,https://p.scdn.co/mp3-preview/10cc798e1e25bb65f13cbe166aa77e51e2f11474?cid=99f699c35c2d4667917d680d9134d27e,0.74,0.498,11.0,-6.684,0.0,0.0456,0.0169,0.00282,0.319,0.652,98.016,audio_features,207039.0,4.0,toplists
4yI3HpbSFSgFZtJP2kDe5m,Selena Gomez,Look At Her Now,93,,0.563,0.564,10.0,-7.906000000000001,0.0,0.271,0.114,0.0254,0.304,0.55,154.355,audio_features,162596.0,5.0,toplists
07Oz5StQ7GRoygNLaXs2pd,Lizzo,Good as Hell (feat. Ariana Grande) - Remix,91,https://p.scdn.co/mp3-preview/95a1c1a7a990490f1bd7d8d0645d3d4a38e08e22?cid=99f699c35c2d4667917d680d9134d27e,0.6679999999999999,0.892,5.0,-3.0010000000000003,0.0,0.0645,0.298,0.0,0.735,0.478,95.927,audio_features,159011.0,4.0,toplists
3i9UVldZOE0aD0JnyfAZZ0,Taylor Swift,Lover (Remix) [feat. Shawn Mendes],86,,0.44799999999999995,0.603,7.0,-7.176,1.0,0.064,0.433,0.0,0.0862,0.42200000000000004,205.27200000000002,audio_features,221307.0,3.0,toplists
3GRSqlALWISqLeNncZMbpX,Lauv,Mean It,85,https://p.scdn.co/mp3-preview/03c8dc4ff8254b9ef20949f6562d5e37941bdb06?cid=99f699c35c2d4667917d680d9134d27e,0.746,0.45,7.0,-8.543,1.0,0.0872,0.0407,0.0,0.172,0.336,95.99799999999999,audio_features,232853.0,4.0,toplists
6V9fHiv84WlVTg7CSnIVY2,Halsey,Graveyard,92,,0.667,0.583,11.0,-5.127000000000001,0.0,0.0747,0.231,4.48e-05,0.18100000000000002,0.187,92.04299999999999,audio_features,181806.0,4.0,toplists
1e9oZCCiX42nJl0AcqriVo,Harry Styles,Watermelon Sugar,86,https://p.scdn.co/mp3-preview/0c51b5f7ed852504844feebfb4f4b7f099452662?cid=99f699c35c2d4667917d680d9134d27e,0.5479999999999999,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,audio_features,174000.0,4.0,toplists
20JtELGPfOAMq7FpUt8eSM,Ant Saunders,Yellow Hearts,84,,0.866,0.39899999999999997,7.0,-10.937999999999999,1.0,0.0745,0.11699999999999999,0.0,0.0689,0.713,129.047,audio_features,223256.0,4.0,toplists
