slice001,14218.815117879074
slice002,34572.27296447754
slice003,31513.963623046875
slice004,33388.04453495125
slice005,32391.739428426652
slice006,32086.478447489502
slice007,17640.84075957298
slice008,26042.239642517397
slice009,31255.91289323208
slice010,24475.454391479492
slice011,18455.89931488037
slice012,25330.21658706665
slice013,30042.837661743164
slice014,30310.75862121582
slice015,25977.577117919922
slice016,27387.329864501953
slice017,15523.084259033203
slice018,29196.441650390625
slice019,4298.816299438477
slice020,12907.887268066406
slice021,11454.214477539062
